varname,item_id,field_width,section,sentinel_codes,sentinel_meanings,sentinel_n,sentinel_pct,max_sentinel_pct,n_total
siblings_total_developmental_retardation,5301,1,Family History/Siblings,8; 9,8=no prior pregnancy (structural zero); 9=unknown/not ascertained,15480; 365,27.9; 0.7,27.9094924727306,55465
siblings_full_liveborn_total_number_full,5302,2,Family History/Siblings,88,88=not applicable/no prior,15480,27.9,27.9094924727306,55465
siblings_liveborn_total_number_all_sibs=,5303,2,Family History/Siblings,88; 99,88=not applicable/no prior; 99=unknown,15480; 13,27.9; 0.0,27.9094924727306,55465
seizures_convulsions_epilepsy_siblings_t,5184,1,Socioeconomic,8; 9,8=not ascertained; 9=unknown/not ascertained,15475; 399,27.9; 0.7,27.9090318857308,55448
siblings_unable_to_attend_regular_school,5304,1,Family History/Siblings,8,8=not ascertained,15475,27.9,27.8984658097316,55469
siblings_total_death_blood_incompatibili,5305,1,Family History/Siblings,8,8=not ascertained,15475,27.9,27.8984658097316,55469
siblings_liveborn_blood_incompati_col452,5306,1,Family History/Siblings,8,8=not ascertained,15475,27.9,27.8984658097316,55469
siblings_liveborn_blood_incompati_col453,5307,1,Family History/Siblings,8,8=not ascertained,15475,27.9,27.8984658097316,55469
cleft_lip_palate_siblings_congenital_mal,5308,1,Family History/Siblings,8,8=not ascertained,15475,27.9,27.8984658097316,55469
club_foot_siblings_congenital_malformati,5309,1,Family History/Siblings,8,8=not ascertained,15475,27.9,27.8984658097316,55469
fingers_or_toes_siblings_congenital_malf,5310,1,Family History/Siblings,8,8=not ascertained,15475,27.9,27.8984658097316,55469
heart_siblings_congenital_malformation_h,5311,1,Family History/Siblings,8,8=not ascertained,15475,27.9,27.8984658097316,55469
head_or_spine_siblings_congenital_malfor,5312,1,Family History/Siblings,8,8=not ascertained,15475,27.9,27.8984658097316,55469
malformation_other_siblings_congenital_m,5313,1,Family History/Siblings,8,8=not ascertained,15475,27.9,27.8984658097316,55469
motor_defect_due_to_injury_siblings_all,5314,1,Family History/Siblings,8; 9,8=not ascertained; 9=unknown/not ascertained,15475; 418,27.9; 0.8,27.8984658097316,55469
continued_motor_defect_due_to_infection,5315,1,Family History/Siblings,8; 9,8=not ascertained; 9=unknown/not ascertained,15475; 419,27.9; 0.8,27.8984658097316,55469
motor_defect_other_siblings_all_sibs=pri,5316,1,Family History/Siblings,8; 9,8=not ascertained; 9=unknown/not ascertained,15475; 418,27.9; 0.8,27.8984658097316,55469
sensory_defect_visual_blind_siblings_all,5317,1,Family History/Siblings,8; 9,8=not ascertained; 9=unknown/not ascertained,15475; 423,27.9; 0.8,27.8984658097316,55469
sensory_defect_hearing_deaf_siblings_all,5318,1,Family History/Siblings,8; 9,8=not ascertained; 9=unknown/not ascertained,15475; 421,27.9; 0.8,27.8984658097316,55469
sensory_defect_speech_defect_siblings_al,5319,1,Family History/Siblings,8; 9,8=not ascertained; 9=unknown/not ascertained,15475; 428,27.9; 0.8,27.8984658097316,55469
developmental_retardation_mental_sibling,5321,1,Family History/Siblings,8; 9,8=not ascertained; 9=unknown/not ascertained,15475; 423,27.9; 0.8,27.8984658097316,55469
developmental_retardation_behavioralemot,5322,1,Family History/Siblings,8; 9,8=not ascertained; 9=unknown/not ascertained,15475; 411,27.9; 0.7,27.8984658097316,55469
premature_births_total_number_prior_to_c,5248,1,Registration/Pregnancy History,8,8=no prior pregnancy (structural zero),16243,27.9,27.8935980217063,58232
parity_pr,4982,2,Registration/Pregnancy History,88; 99,88=not applicable/no prior; 99=unknown,16054; 70,27.5; 0.1,27.5165829662513,58343
motor_defects_siblings_fob_motor_defects,5339,1,Family History/Siblings,9,9=unknown/not ascertained,14666,26.5,26.4514383623411,55445
motor_defects_siblings_yes_no_unk_col486,5340,1,Family History/Siblings,9,9=unknown/not ascertained,14666,26.5,26.4514383623411,55445
cord_clamping_interval_time_sec_clamping,5382,3,Pathology/Placenta,999,999=unknown,4023,25.0,24.9503845199702,16124
cord_length_of_cord_cms_cordlength_of_cm,5383,2,Pathology/Placenta,88; 99,88=not applicable/no prior; 99=unknown,130; 13213,0.2; 24.1,24.1130739470034,54796
cord_length_categorized_groupinterval_co,5384,2,Pathology/Placenta,99,99=unknown,13213,24.1,24.1130739470034,54796
age_of_father_of_baby_or_husband_yrs,5238,2,Registration/Pregnancy History,88; 99,88=not applicable/no prior; 99=unknown,13246; 184,23.4; 0.3,23.4032403399353,56599
